# Source: https://gist.github.com/art0007i/018c94ee9c8701a8c2a0419599d80fbc/
tag,url,slotName
halloween24 participant,resdb:///f31448d1140a687cbc7917e0a169ebcd2d7ea477f6bbc8853f576c9e43053d5a.png,Halloween 2024 Contest Participant
halloween24 winner,resdb:///ea3e4281b20e3250bb58d6e26505c6272d006714c4c78945367f146a97851a9c.png,Halloween 2024 Contest Winner
halloween25 participant,resdb:///f053c200862d16025f46ae9e4fcf7d42334f206e12adb032f34bcbf7fb1e1b61.png,Halloween 2025 Participant
neos festa 3,resdb:///8f329d39f0f6c4778afe7dd1f2c85461cfd0c57a79ebdbe648cfb5de797261b1.png,Festa 3
neos festa 3 participant,resdb:///db19e650645cc15516a4e95f02253e3aefd7bd2a9ffeb838d95a08d9eb4334f1.png,Festa 3 Participant
neos festa 4 ambassador,resdb:///23f645e2084a43d7c96fb1fd7cb9f732faa66baa703ac128f3796c974e3f5bb8.png,Festa 4 Ambassador
neos festa 4 participant,resdb:///b3e14476da9ee56a2bfd618e3281b7314999797ba654eabb0588852ee1ef04aa.png,Festa 4 Participant
unifesta 2023,resdb:///fa88adba5c5c3910052ec801852ed56138ac606b45e66a5f4f51a02af032166e.png,UniFesta 2023 Participant
unifesta 2024 participant,resdb:///0a2665175e528c1887bff6b63c2729a64cdf37a7ffedef2784feba41af1999be.png,UniFesta 2024 Participant
unifesta 2024 ambassador,resdb:///b50d3e85bee612408dd17afc58a2b99f3785599984dc796bbf82d35889eca483.png,UniFesta 2024 Ambassador
pride aegosexual,resdb:///769485d31a479c68498c5eca7da554b77da5a112732929deef8096301fe346f6.png,Aegosexual
pride aroace,resdb:///570faae678b96aa12997cdc0a9e3de2206443eaf974e56fc01732bc67b7f3909.png,Aroace
pride agender,resdb:///1f64ab9f3ffaf43723d444e2853ddd6658d7ae54f2ecb8b15b2614acc07e8982.png,Agender
pride asexual,resdb:///09f8dfbd96c5c1cfef77e8d9ce61974d1f3d32c7e177eb8140dbffd975799514.png,Asexual
pride aromantic,resdb:///26f95d03589d9ec8beafacc8311785b63f384c80957e70e6cc782e4b74db96b4.png,Aromantic
pride bigender,resdb:///0002cd99d9dfcd5556ce47c9bda094cb6a6edd3e43d73af37d3a945c5105525f.png,Bigender
pride bisexual,resdb:///ad2a21831fddb84643b7d90701fd0cc23303de4ef4c3d95d2023b5eec0f7c4d6.png,Bisexual
pride demigender,resdb:///b4408c7294f6220c6965680e6d5093da5b7c0219ebf5d83340432e1c91460738.png,Demigender
pride demisexual,resdb:///5417465fc18d45602bcadf7ac054f967624bdd4eb149f488387dcb5a21e845cb.png,Demisexual
pride genderfluid,resdb:///c6072ca4c890419d899cbf8270cc5ab0bb1bef4b6728652d072298a252e3e486.png,Genderfluid
pride genderqueer,resdb:///0933e6ab6cbab751cbbc3718eb7d8e8a56ff3ba17130b482d32be0e095d1dd65.png,Genderqueer
pride gilbertbaker,resdb:///bc64016a8e11fac2d2b406f9bc5b9a0286ca6e2d26390cc51e342a38cb6b8548.png,Gilbert Baker
pride graysexual,resdb:///dc3b38d5aa52fb14b1e27e8d663d0634272616bf476c14cf216752e12fecfa10.png,Graysexual
pride intersex,resdb:///cf6c42b4809ce54b0f3df08545c787a36bd5e397a6c4fa8248c05ad3a10253cf.png,Intersex
pride intersexprogress,resdb:///6217e44581cdf6f57e4bf44e1e478f85c954abb2d9169db564a84f2ea6feece6.png,Intersex-Inclusive Progress
pride lesbian,resdb:///2e4ce52a0d1e0b58abc8740e2ee9a4e92464c4174fc3e8be49d7c6546fae9e2a.png,Lesbian
pride nonbinary,resdb:///e44228f69b7e122b98143435885fee6c53627e87b93bc63d053c8ee6006e4c33.png,Nonbinary
pride pansexual,resdb:///7e94e18d72cc9fe45060e3d39a301bd284c59543abe9a515bd4e9de20d9c9d03.png,Pansexual
pride philadelphia,resdb:///c35c01aa97a09c0445e962d5c301cf50d35ce20a24914a43435918b0644601ab.png,Philadelphia Pride
pride polyamory,resdb:///f7332e7d0af56e3a4ce1b97277bea05359beaf9efe0c8f56f49ef3b4cb58a006.png,Polyamory
pride polysexual,resdb:///03e09d9ce7cfcf2d54d70fd7f860369691c42773f2dcaafa5bd33f0ade03e9e5.png,Polysexual
pride progress,resdb:///da63efc61772186d0181d369b397b51fc4126ffecdfac3e6d07a657e9ff34edb.png,Progress Pride
pride queer,resdb:///f7410d263fa52dbe94763b8cd5a6e29dded37895dffdf83f420e7557cdc2cee0.png,Queer
pride queerpeopleofcolor,resdb:///1602857489fca53a1ea7dd4349914184947e434f1143b4fbe8bf2aef0a9a3334.png,Queer People of Color
pride traditional,resdb:///ca45c4955f17898bafb08b2ed97daf59a93c3d432be1684820ba02fceecc492f.png,Traditional Pride Flag
pride transgender,resdb:///94eaec80c3726f6bed4f1b0dea4f01de2f359cb1ae47b12c317da229af43cee0.png,Transgender
pride transfeminine,resdb:///13dcfcd37ca50678c2a2760ccc7194dc9bae66046f4633367bb3c83472cecc2a.png,Transfeminine
pride transmasculine,resdb:///9675c4cce538300d7df6cbb340c4fd1d7db6bfd4bb861e8fb2e5e9aea800430c.png,Transmasculine
